week.treat,week,treat,pop,cage,count.1,count.2,count.3,mass.1,mass.2,mass.3,mass.t,unit.1,unit.2,unit.3,census,unit.mean,unit.sd
0,1,C,A,A1,38,56,68,4.9,5.4,5.6,273.3,0.1289,0.0964,0.0824,2029,0.1026,0.0239
0,1,C,B,B1,36,55,67,5.8,4.5,5.5,421.5,0.1611,0.0818,0.0821,3891,0.1083,0.0457
0,1,C,C,C1,57,48,40,6.2,7.7,6.4,324.1,0.1088,0.1604,0.1600,2265,0.1431,0.0297
0,1,C,D,D1,37,41,41,4.4,5.3,5.6,526.6,0.1189,0.1293,0.1366,4106,0.1283,0.0089
0,1,C,A,A2,47,43,42,3.7,6.8,7.1,390.4,0.0787,0.1581,0.1690,2885,0.1353,0.0493
0,1,C,B,B2,48,39,47,7.2,7,5.1,222.2,0.1500,0.1795,0.1085,1522,0.1460,0.0357
0,1,C,C,C2,33,39,49,4.9,4.7,5.2,266.6,0.1485,0.1205,0.1061,2132,0.1250,0.0215
0,1,C,D,D2,48,57,51,6.6,8.3,5.1,373.5,0.1375,0.1456,0.1000,2925,0.1277,0.0243
0,2,C,A,A1,28,28,34,3.7,3.5,4.7,387.9,0.1321,0.1250,0.1382,2943,0.1318,0.0066
0,2,C,B,B1,29,37,31,3.8,5.3,4.8,343.8,0.1310,0.1432,0.1548,2404,0.1430,0.0119
0,2,C,C,C1,29,40,33,3.8,4.9,4.4,264.1,0.1310,0.1225,0.1333,2048,0.1290,0.0057
0,2,C,D,D1,33,46,36,3.4,4.6,4.1,318,0.1030,0.1000,0.1139,3010,0.1056,0.0073
0,2,C,A,A2,39,37,38,4.9,5.2,5.3,292.4,0.1256,0.1405,0.1395,2162,0.1352,0.0083
0,2,C,B,B2,40,38,49,4.4,4.5,5.6,280.8,0.1100,0.1184,0.1143,2458,0.1142,0.0042
0,2,C,C,C2,42,44,38,4.9,5.3,4.7,389.2,0.1167,0.1205,0.1237,3236,0.1203,0.0035
0,2,C,D,D2,50,32,46,6.2,4.7,5.6,428.4,0.1240,0.1469,0.1217,3273,0.1309,0.0139
0,3,C,A,A1,36,43,34,4.2,5.5,3.9,211.6,0.1167,0.1279,0.1147,1767,0.1198,0.0071
0,3,C,B,B1,35,37,53,4.6,4.8,6.9,296.1,0.1314,0.1297,0.1302,2270,0.1304,0.0009
0,3,C,C,C1,33,26,44,4.4,3.5,6.5,230.6,0.1333,0.1346,0.1477,1664,0.1386,0.0080
0,3,C,D,D1,53,35,52,5.5,4.2,5.5,306.1,0.1038,0.1200,0.1058,2787,0.1098,0.0088
0,3,C,A,A2,29,30,38,3.6,4,5.4,256.1,0.1241,0.1333,0.1421,1923,0.1332,0.0090
0,3,C,B,B2,43,37,39,5.8,4.8,5.2,378.9,0.1349,0.1297,0.1333,2856,0.1326,0.0026
0,3,C,C,C2,56,44,36,6.2,5.4,4.3,298.6,0.1107,0.1227,0.1194,2538,0.1176,0.0062
0,3,C,D,D2,39,27,37,4.6,3.6,3.8,750.6,0.1179,0.1333,0.1027,6361,0.1180,0.0153
0,4,C,A,A1,41,43,38,6.8,5.9,5.2,202.2,0.1659,0.1372,0.1368,1379,0.1466,0.0166
0,4,C,B,B1,50,48,48,5.7,6.6,5.3,186.9,0.1140,0.1375,0.1104,1549,0.1206,0.0147
0,4,C,C,C1,48,36,46,5.1,4.3,5.4,141.9,0.1063,0.1194,0.1174,1241,0.1144,0.0071
